Average Error=253.918
FlowId=104.154.198.228 EstimatedSize=10225 TrueSize=9835
FlowId=104.17.183.118 EstimatedSize=10026 TrueSize=9956
FlowId=52.84.76.175 EstimatedSize=9898 TrueSize=9450
FlowId=159.178.108.111 EstimatedSize=9862 TrueSize=9848
FlowId=165.215.209.15 EstimatedSize=9786 TrueSize=8982
FlowId=187.237.14.200 EstimatedSize=9717 TrueSize=9747
FlowId=54.192.205.183 EstimatedSize=9619 TrueSize=6537
FlowId=70.187.95.95 EstimatedSize=9506 TrueSize=9510
FlowId=73.224.42.241 EstimatedSize=9440 TrueSize=8910
FlowId=159.178.107.44 EstimatedSize=9403 TrueSize=8698
FlowId=103.26.37.253 EstimatedSize=9399 TrueSize=9324
FlowId=159.178.237.53 EstimatedSize=8988 TrueSize=9681
FlowId=54.230.161.109 EstimatedSize=8853 TrueSize=8673
FlowId=17.249.156.24 EstimatedSize=8853 TrueSize=168
FlowId=88.231.33.95 EstimatedSize=8820 TrueSize=8968
FlowId=159.178.128.203 EstimatedSize=8751 TrueSize=3436
FlowId=34.206.148.175 EstimatedSize=8601 TrueSize=7485
FlowId=216.137.41.234 EstimatedSize=8484 TrueSize=3826
FlowId=23.202.88.31 EstimatedSize=8483 TrueSize=8462
FlowId=104.92.17.82 EstimatedSize=8460 TrueSize=8390
FlowId=96.7.182.150 EstimatedSize=8378 TrueSize=8364
FlowId=104.16.89.188 EstimatedSize=7925 TrueSize=7867
FlowId=128.227.112.222 EstimatedSize=7910 TrueSize=7904
FlowId=149.169.208.76 EstimatedSize=7891 TrueSize=8030
FlowId=216.52.195.182 EstimatedSize=7724 TrueSize=8584
FlowId=63.251.240.12 EstimatedSize=7717 TrueSize=7380
FlowId=187.58.65.21 EstimatedSize=7692 TrueSize=9
FlowId=66.249.64.14 EstimatedSize=7692 TrueSize=7701
FlowId=156.154.65.196 EstimatedSize=7636 TrueSize=7597
FlowId=159.178.137.117 EstimatedSize=7576 TrueSize=7581
FlowId=120.239.64.18 EstimatedSize=7472 TrueSize=7122
FlowId=69.252.101.144 EstimatedSize=7369 TrueSize=7763
FlowId=8.27.160.227 EstimatedSize=7304 TrueSize=7272
FlowId=159.178.112.71 EstimatedSize=7172 TrueSize=7315
FlowId=91.198.117.247 EstimatedSize=7127 TrueSize=7394
FlowId=157.55.39.140 EstimatedSize=7118 TrueSize=8058
FlowId=159.178.115.102 EstimatedSize=7056 TrueSize=7063
FlowId=192.210.199.106 EstimatedSize=7052 TrueSize=7374
FlowId=159.178.129.112 EstimatedSize=7011 TrueSize=7011
FlowId=98.18.16.218 EstimatedSize=6972 TrueSize=6944
FlowId=73.224.76.160 EstimatedSize=6946 TrueSize=6946
FlowId=108.179.205.207 EstimatedSize=6874 TrueSize=4076
FlowId=68.64.22.136 EstimatedSize=6841 TrueSize=7262
FlowId=112.198.103.2 EstimatedSize=6707 TrueSize=6652
FlowId=71.6.146.185 EstimatedSize=6634 TrueSize=6808
FlowId=174.70.89.126 EstimatedSize=6625 TrueSize=7291
FlowId=159.178.129.91 EstimatedSize=6610 TrueSize=6783
FlowId=98.18.150.191 EstimatedSize=6578 TrueSize=6714
FlowId=95.101.36.67 EstimatedSize=6566 TrueSize=6666
FlowId=209.112.113.33 EstimatedSize=6493 TrueSize=6487
FlowId=159.178.108.48 EstimatedSize=6489 TrueSize=6501
FlowId=159.178.109.180 EstimatedSize=6338 TrueSize=5744
FlowId=198.245.89.70 EstimatedSize=6298 TrueSize=6296
FlowId=159.178.102.100 EstimatedSize=6218 TrueSize=8733
FlowId=159.178.100.162 EstimatedSize=6214 TrueSize=6392
FlowId=159.178.119.40 EstimatedSize=6177 TrueSize=6164
FlowId=123.96.129.192 EstimatedSize=6128 TrueSize=2
FlowId=68.142.68.21 EstimatedSize=6125 TrueSize=1358
FlowId=212.59.4.2 EstimatedSize=6125 TrueSize=2
FlowId=168.241.221.101 EstimatedSize=6094 TrueSize=4
FlowId=154.70.25.158 EstimatedSize=6094 TrueSize=2
FlowId=159.178.100.82 EstimatedSize=6079 TrueSize=6058
FlowId=198.54.114.221 EstimatedSize=5984 TrueSize=674
FlowId=171.161.207.200 EstimatedSize=5978 TrueSize=6136
FlowId=172.58.169.154 EstimatedSize=5976 TrueSize=4354
FlowId=159.178.32.133 EstimatedSize=5967 TrueSize=5890
FlowId=172.217.8.80 EstimatedSize=5887 TrueSize=7187
FlowId=66.231.139.112 EstimatedSize=5849 TrueSize=5862
FlowId=104.92.16.146 EstimatedSize=5823 TrueSize=5571
FlowId=128.227.220.36 EstimatedSize=5783 TrueSize=5525
FlowId=159.178.97.31 EstimatedSize=5746 TrueSize=826
FlowId=66.87.114.206 EstimatedSize=5736 TrueSize=5722
FlowId=69.172.201.238 EstimatedSize=5686 TrueSize=5690
FlowId=112.252.126.123 EstimatedSize=5669 TrueSize=4
FlowId=159.178.100.84 EstimatedSize=5655 TrueSize=5867
