Average Error=123.307
FlowId=104.17.183.118 EstimatedSize=10001 TrueSize=9956
FlowId=70.187.95.95 EstimatedSize=9888 TrueSize=9510
FlowId=159.178.108.111 EstimatedSize=9870 TrueSize=9848
FlowId=104.154.198.228 EstimatedSize=9851 TrueSize=9835
FlowId=187.237.14.200 EstimatedSize=9759 TrueSize=9747
FlowId=159.178.237.53 EstimatedSize=9683 TrueSize=9681
FlowId=52.84.76.175 EstimatedSize=9463 TrueSize=9450
FlowId=103.26.37.253 EstimatedSize=9324 TrueSize=9324
FlowId=73.224.42.241 EstimatedSize=9218 TrueSize=8910
FlowId=23.202.88.31 EstimatedSize=9063 TrueSize=8462
FlowId=165.215.209.15 EstimatedSize=8996 TrueSize=8982
FlowId=88.231.33.95 EstimatedSize=8986 TrueSize=8968
FlowId=104.92.17.82 EstimatedSize=8874 TrueSize=8390
FlowId=159.178.102.100 EstimatedSize=8762 TrueSize=8733
FlowId=159.178.107.44 EstimatedSize=8702 TrueSize=8698
FlowId=54.230.161.109 EstimatedSize=8673 TrueSize=8673
FlowId=216.52.195.182 EstimatedSize=8584 TrueSize=8584
FlowId=96.7.182.150 EstimatedSize=8371 TrueSize=8364
FlowId=34.206.148.175 EstimatedSize=8160 TrueSize=7485
FlowId=149.169.208.76 EstimatedSize=8127 TrueSize=8030
FlowId=157.55.39.140 EstimatedSize=8090 TrueSize=8058
FlowId=66.249.64.14 EstimatedSize=8002 TrueSize=7701
FlowId=128.227.112.222 EstimatedSize=7954 TrueSize=7904
FlowId=104.16.89.188 EstimatedSize=7878 TrueSize=7867
FlowId=69.252.101.144 EstimatedSize=7786 TrueSize=7763
FlowId=156.154.65.196 EstimatedSize=7732 TrueSize=7597
FlowId=159.178.137.117 EstimatedSize=7581 TrueSize=7581
FlowId=71.6.146.185 EstimatedSize=7536 TrueSize=6808
FlowId=159.178.115.102 EstimatedSize=7509 TrueSize=7063
FlowId=91.198.117.247 EstimatedSize=7410 TrueSize=7394
FlowId=63.251.240.12 EstimatedSize=7395 TrueSize=7380
FlowId=192.210.199.106 EstimatedSize=7374 TrueSize=7374
FlowId=174.70.89.126 EstimatedSize=7355 TrueSize=7291
FlowId=159.178.112.71 EstimatedSize=7321 TrueSize=7315
FlowId=8.27.160.227 EstimatedSize=7292 TrueSize=7272
FlowId=112.198.103.2 EstimatedSize=7273 TrueSize=6652
FlowId=68.64.22.136 EstimatedSize=7262 TrueSize=7262
FlowId=172.217.8.80 EstimatedSize=7216 TrueSize=7187
FlowId=120.239.64.18 EstimatedSize=7122 TrueSize=7122
FlowId=73.224.76.160 EstimatedSize=7072 TrueSize=6946
FlowId=159.178.129.112 EstimatedSize=7013 TrueSize=7011
FlowId=159.178.129.91 EstimatedSize=6994 TrueSize=6783
FlowId=98.18.16.218 EstimatedSize=6954 TrueSize=6944
FlowId=35.190.151.98 EstimatedSize=6783 TrueSize=5524
FlowId=54.192.205.183 EstimatedSize=6751 TrueSize=6537
FlowId=98.18.150.191 EstimatedSize=6729 TrueSize=6714
FlowId=95.101.36.67 EstimatedSize=6691 TrueSize=6666
FlowId=159.178.32.133 EstimatedSize=6541 TrueSize=5890
FlowId=209.112.113.33 EstimatedSize=6501 TrueSize=6487
FlowId=159.178.108.48 EstimatedSize=6501 TrueSize=6501
FlowId=207.46.13.156 EstimatedSize=6493 TrueSize=5892
FlowId=159.178.100.33 EstimatedSize=6427 TrueSize=5996
FlowId=159.178.100.162 EstimatedSize=6392 TrueSize=6392
FlowId=198.245.89.70 EstimatedSize=6304 TrueSize=6296
FlowId=159.178.100.82 EstimatedSize=6229 TrueSize=6058
FlowId=159.178.119.40 EstimatedSize=6209 TrueSize=6164
FlowId=171.161.207.200 EstimatedSize=6146 TrueSize=6136
FlowId=199.204.59.137 EstimatedSize=6099 TrueSize=5472
FlowId=178.33.214.223 EstimatedSize=6077 TrueSize=5946
FlowId=69.172.201.238 EstimatedSize=5952 TrueSize=5690
FlowId=99.166.162.58 EstimatedSize=5905 TrueSize=5530
FlowId=159.178.100.84 EstimatedSize=5889 TrueSize=5867
FlowId=74.217.66.240 EstimatedSize=5878 TrueSize=3848
FlowId=66.231.139.112 EstimatedSize=5869 TrueSize=5862
FlowId=66.87.114.206 EstimatedSize=5758 TrueSize=5722
FlowId=198.102.61.236 EstimatedSize=5752 TrueSize=5752
FlowId=159.178.109.180 EstimatedSize=5744 TrueSize=5744
FlowId=204.74.115.1 EstimatedSize=5685 TrueSize=5681
FlowId=159.178.96.156 EstimatedSize=5644 TrueSize=4992
FlowId=167.68.20.174 EstimatedSize=5641 TrueSize=5423
FlowId=128.227.220.36 EstimatedSize=5640 TrueSize=5525
FlowId=104.92.16.146 EstimatedSize=5607 TrueSize=5571
FlowId=54.192.205.60 EstimatedSize=5589 TrueSize=5543
FlowId=188.184.36.52 EstimatedSize=5562 TrueSize=4904
